번호,사업장명,위도,경도,영업상태명,소재지전화,소재지전체주소,도로명전체주소,의료기관종별명,의료인수,병상수
1461,세종새싹병원,36.471552248,127.27635268,폐업,044-864-7575,세종특별자치시 대평동 147-1 알파메디컬센터,"세종특별자치시 한누리대로 2275, 알파메디컬센터 4~6층 (대평동)",병원,18,30
1462,생이음한방병원,37.553729273,127.18579405,폐업,1833-2772,경기도 하남시 풍산동 522-3 위너스프라자,"경기도 하남시 미사강변대로 38, 위너스프라자 3~6층 307~12, 502-1~5, 507~12호 (풍산동)",한방병원,1,134
1463,밝은한방병원,36.473003672,127.27678781,폐업,044-867-9300,세종특별자치시 대평동 685 씨티오브드림,"세종특별자치시 한누리대로 2264, 씨티오브드림 4~5층,6(일부)층 (대평동)",한방병원,7,67
1464,대한민국만만세병원,35.162126311,129.15717137,폐업,051-741-3131,부산광역시 해운대구 우동 639-3,"부산광역시 해운대구 해운대로 602, 3~4층층 (우동)",병원,1,53
1465,경희다원한방병원,37.429371881,127.12840606,폐업,031-697-8575,"경기도 성남시 중원구 성남동 4933 성남 아리스타 2층일부,3층","경기도 성남시 중원구 둔촌대로80번길 3-10, 성남 아리스타 2층일부,3층 (성남동)",한방병원,7,75
1466,든든한방병원,36.597944829,127.50312815,폐업,043285-0285,충청북도 청주시 상당구 방서동 644-8,충청북도 청주시 상당구 2순환로2031번길 6-3 (방서동),한방병원,0,60
1467,세종심온한방병원,36.471035046,127.27544177,폐업,044-867-5500,,"세종특별자치시 갈매로 58, 황산프라자 3,6층 (대평동)",한방병원,1,60
1468,청담병원,34.956028866,127.48690762,폐업,061-905-7588,,"전라남도 순천시 환선로 7-0, 3,6,9,10층 (동외동,청보빌딩)",병원,15,76
1469,서울드림메디컬센터병원,37.60037996,126.89396337,폐업,02-6081-8275,,"경기도 고양시 덕양구 향기로 119, Urban place 5,6,7층 (향동동)",병원,2,55
1470,양주탑요양병원,37.794771856,127.08059771,폐업,031-848-7599,,"경기도 양주시 고읍남로 5-14, 주건축물제1동 4, 8층 (광사동)",요양병원(일반요양병원),35,190
1471,동현한방병원,36.653630211,127.48912793,폐업,043224-2300,,"충청북도 청주시 청원구 상당로 282-0, 1,3,4층 (내덕동,태성빌딩)",한방병원,8,45
1472,김기옥한방병원,37.563805241,127.190508,폐업,-3633,,"경기도 하남시 미사강변중앙로 190, 하남미사 롯데캐슬 스타 2층 219~243, 269~279호 (망월동)",한방병원,11,50
1473,직산큰병원,36.883436501,127.15465984,폐업,041-582-2200,"충청남도 천안시 서북구 직산읍 삼은리 36-16 2층 201호, 3층","충청남도 천안시 서북구 직산읍 직산로 65, 2층 201호, 3층",병원,5,41
1474,케이K병원,35.152644077,126.88782172,폐업,062-369-7700,광주광역시 서구 농성동 645-23,광주광역시 서구 경열로 8(농성동),병원,5,100
1475,명지자연병원,35.080201426,128.90392924,폐업,051-959-9000,,"부산광역시 강서구 명지오션시티4로 99, 3~10층 (명지동)",병원,18,68
1476,리워크병원,37.498771885,127.12036699,폐업,02-501-1652,서울특별시 송파구 가락동 48-3 지하2층~지상7층,"서울특별시 송파구 송이로 81, 지하2~지상7층 (가락동)",병원,18,60
1477,미사랑병원,37.563805241,127.190508,폐업,031-761-7582,경기도 하남시 망월동 1099 하남미사 롯데캐슬 스타,"경기도 하남시 미사강변중앙로 190, 하남미사 롯데캐슬 스타 2층 219~243, 269~279호 (망월동)",병원,22,52
1478,한빛요양병원,35.17099851,128.11850315,폐업,055-756-0900,"경상남도 진주시 상평동 164-4 한빛요양병원 지하2층, 지상2.3.4.5층","경상남도 진주시 대신로 120, 한빛요양병원 (상평동)",요양병원(일반요양병원),13,148
1479,미사바른병원,37.563805241,127.190508,폐업,1544-8297,,"경기도 하남시 미사강변중앙로 190, 3층 323~348호,367~387호 (망월동)",병원,2,30
1480,갤러리치과병원,35.159867536,129.05769211,폐업,051-864-7890,부산광역시 부산진구 부전동 396-14 라이프빌리지,"부산광역시 부산진구 새싹로 22-1, 라이프빌리지 4층 (부전동)",치과병원,1,0
1481,라온힐필립병원,36.762280639,127.30284044,폐업,041-561-7777,충청남도 천안시 동남구 병천면 병천리 176-7,"충청남도 천안시 동남구 병천면 충절로 1782, 2층~7층",정신병원,1,218
1482,시민요양병원,37.761533345,126.77674793,폐업,319356081,경기도 파주시 아동동 331-8,"경기도 파주시 중앙로 286, 1층 (아동동)",요양병원(일반요양병원),12,35
1483,첨단미르치과병원,35.217263145,126.85050439,폐업,062-970-9000,,광주광역시 광산구 임방울대로 844 (쌍암동),치과병원,6,0
1484,첨단참사랑요양병원,,,폐업,062-971-7766,광주광역시 광산구 월계동 890-2,,요양병원(일반요양병원),1,100
1485,즐거운요양병원,,,폐업,062-946-9500,광주광역시 광산구 송촌동 213-3,,요양병원(일반요양병원),9,99
1486,하나병원,35.143208099,126.79922128,폐업,062-712-3000,광주광역시 광산구 송정동 712번지 2호,"광주광역시 광산구 상무대로 306 (송정동, 하나병원)",병원,4,61
1487,시온한방병원,35.218249382,126.84364723,폐업,062-954-1075,광주광역시 광산구 쌍암동 657번지 6호,광주광역시 광산구 임방울대로 779 (쌍암동),한방병원,4,69
1488,민들레한방병원,35.177335546,126.82404693,폐업,062-953-0800,광주광역시 광산구 운남동 525번지 27호,광주광역시 광산구 목련로219번길 140 (운남동),한방병원,6,91
1489,가롤로한방병원,35.2192167,126.84238851,폐업,062-975-0000,광주광역시 광산구 쌍암동 656번지 3호,광주광역시 광산구 첨단중앙로 158 (쌍암동),한방병원,3,49
1490,미사한방병원,35.2192167,126.84238851,폐업,062-716-1075,광주광역시 광산구 쌍암동 656번지 3호,광주광역시 광산구 첨단중앙로 158 (쌍암동),한방병원,5,69
1491,튼튼한방병원,35.218249382,126.84364723,폐업,062-719-1011,광주광역시 광산구 쌍암동 657번지 6호,광주광역시 광산구 임방울대로 779 (쌍암동),한방병원,5,61
1492,미사한방병원,35.2192167,126.84238851,폐업,,광주광역시 광산구 쌍암동 656번지 3호,"광주광역시 광산구 첨단중앙로 158, 2,3,4층 (쌍암동)",한방병원,7,48
1493,광주사랑요양병원,35.19125448,126.81947561,폐업,525-6515,광주광역시 광산구 장덕동 1302번지,"광주광역시 광산구 장신로 85 (장덕동, 수영빌딩 4층)",요양병원(일반요양병원),14,70
1494,늘봄한방병원,35.220321891,126.84506068,폐업,062-974-9100,광주광역시 광산구 쌍암동 666번지 3호,"광주광역시 광산구 첨단중앙로170번길 58, 2,3층 (쌍암동)",한방병원,3,68
1495,서암한방병원,35.19125448,126.81947561,폐업,062-955-9900,광주광역시 광산구 장덕동 1302번지 4층,"광주광역시 광산구 장신로 85, 4층 (장덕동)",한방병원,7,78
1496,송정한방병원,35.138573451,126.79665305,폐업,942-9922,광주광역시 광산구 송정2동 820번지 6호,광주광역시 광산구 내상로 36 (송정동),한방병원,6,54
1497,대화한방병원,35.216106384,126.84273216,폐업,972-7975,광주광역시 광산구 월계동 875번지 11호,"광주광역시 광산구 첨단중앙로 120 (월계동, 신영빌딩)",한방병원,2,35
1498,신촌요양병원,35.143566653,126.80404502,폐업,942-8811,광주광역시 광산구 신촌동 1113번지 1호,광주광역시 광산구 상무대로 350 (신촌동),요양병원(일반요양병원),2,64
1499,老世노세요양병원,35.140294929,126.79262858,폐업,946-7100,광주광역시 광산구 송정동 1364번지,"광주광역시 광산구 상무대로 231 (송정동, 노세노세요양병원)",요양병원(일반요양병원),24,296
1500,은혜요양병원,35.143566653,126.80404502,폐업,,광주광역시 광산구 신촌동 1113번지 1호,광주광역시 광산구 상무대로 350 (신촌동),요양병원(일반요양병원),14,128
1501,5튼튼병원,35.163926748,126.80218262,폐업,062-956-7000,광주광역시 광산구 우산동 1575번지 1호,광주광역시 광산구 용아로 234 (우산동),병원,6,72
1502,첨단참사랑노인전문병원,35.214296775,126.84419733,폐업,062-971-7766,광주광역시 광산구 월계동 890번지 2호,광주광역시 광산구 월계로 173-9 (월계동),요양병원(노인병원),12,170
1503,미래한방병원,35.218249382,126.84364723,폐업,954-1075,"광주광역시 광산구 쌍암동 657번지 6호  지하1층,2층~3층","광주광역시 광산구 임방울대로 779 (쌍암동,지하1층,2층~3층)",한방병원,7,69
1504,수완청연요양병원,35.190407289,126.81450997,폐업,626009000,광주광역시 광산구 장덕동 1608번지,광주광역시 광산구 풍영로 214 (장덕동),요양병원(일반요양병원),25,324
1505,광산하나아동병원,35.191028816,126.82561219,폐업,062-467-3300,광주광역시 광산구 수완동 1085번지 3층 ~ 9층,"광주광역시 광산구 장신로 141, 3~9층 (수완동)",병원,3,32
1506,에이치앤호남병원,35.162663239,126.8086784,폐업,062-950-9000,광주광역시 광산구 우산동 1583-3,광주광역시 광산구 사암로 206 (우산동),병원,24,85
1507,명인의료소비자생활협동조합 한아름요양병원,36.33516937,127.39644165,폐업,042-536-7575,대전광역시 서구 용문동 250번지 1호 한아름요양병원,"대전광역시 서구 계룡로 688, 한아름요양병원 (용문동)",요양병원(일반요양병원),16,130
1508,의료법인안광의료재단 대전성심병원,36.350218987,127.35156594,폐업,,대전광역시 서구 월평1동 187번지 5호,대전광역시 서구 계룡로 198 (월평동),병원,6,99
1509,보아스요양병원,36.327781519,127.38116552,폐업,042-537-2000,대전광역시 서구 변동 12-9,대전광역시 서구 도산로 224 (변동),요양병원(일반요양병원),6,184
1510,온누리좋은요양병원,36.328103351,127.38783085,폐업,042-719-1117,"대전광역시 서구 가장동 32번지 23호 2층,3층,6층","대전광역시 서구 동서대로 1147, 2층,3층,6층 (가장동, 온누리크리닉)",요양병원(일반요양병원),9,121
1511,계룡병원,36.348284954,127.36981048,폐업,042-601-7100,대전광역시 서구 갈마2동 362번지 1호,대전광역시 서구 갈마로 45 (갈마동),병원,39,161
1512,푸른요양병원,36.356795996,127.3641735,폐업,042-483-9975,대전광역시 서구 월평1동 533번지,대전광역시 서구 월평중로 24 (월평동),요양병원(일반요양병원),12,95
1513,비엔피병원,36.347668484,127.37665428,폐업,042-522-8275,"대전광역시 서구 갈마2동 1435번지 (4,8층)",대전광역시 서구 대덕대로 164 (갈마동),병원,12,31
1514,제이에스힐링병원,36.339074117,127.39286698,폐업,042-525-0111,"대전광역시 서구 탄방동 81번지 12호 (2,3,9층)","대전광역시 서구 계룡로 633, 2,3,4,9층 (탄방동)",병원,6,46
1515,씨엘병원,36.361913514,127.37893228,폐업,484-6991,대전광역시 서구 월평동 243번지,"대전광역시 서구 대덕대로 325, 3층 (월평동, 스타게이트씨네몰)",병원,12,39
1516,대전베스트정형외과병원,36.352731968,127.38986375,폐업,042-345-7700,대전광역시 서구 둔산동 1507번지,"대전광역시 서구 문예로 67, 지하1,5~7층 (둔산동)",병원,8,47
1517,의료법인규웅의료재단 인애가한방병원,36.313001813,127.3809181,폐업,042-601-7000,대전광역시 서구 도마동 175번지 18호,대전광역시 서구 도산로 44 (도마동),한방병원,6,64
1518,미래여성병원,36.348437251,127.3780059,폐업,042-471-7100,대전광역시 서구 둔산동 1127,대전광역시 서구 대덕대로176번길 15 (둔산동),병원,11,127
1519,조인병원,36.343656609,127.38555161,폐업,042-486-3100,대전광역시 서구 탄방동 672,대전광역시 서구 계룡로553번길 18 (탄방동),병원,17,34
1520,파인병원,,,폐업,042-488-2288,대전광역시 서구 둔산동 1179,,치과병원,5,0
1521,이노치과병원,36.349684757,127.3769884,폐업,042-471-0028,대전광역시 서구 둔산동 1109,대전광역시 서구 대덕대로 183 (둔산동),치과병원,6,0
1522,서부병원,36.313001813,127.3809181,폐업,042-580-0114,대전광역시 서구 도마동 175-18,대전광역시 서구 도산로 44 (도마동),병원,18,130
1523,세민요양병원,36.332961325,127.39418424,폐업,042-537-7200,대전광역시 서구 용문동 282-27,대전광역시 서구 유등로 491 (용문동),요양병원(일반요양병원),20,199
1524,성심효사랑요양병원,36.350218987,127.35156594,폐업,042-533-8275,대전광역시 서구 월평동 187-7,대전광역시 서구 계룡로 198 (월평동),요양병원(일반요양병원),22,160
1525,에스앤케이병원,36.34843027,127.38259125,폐업,042-476-9020,대전광역시 서구 둔산동 1255,"대전광역시 서구 둔산남로 46, 4,5층 (둔산동)",병원,28,79
1526,인천센트럴요양병원,37.462141793,126.64178392,폐업,032)882-0075,인천광역시 미추홀구 숭의동 343-1 정산빌딩,"인천광역시 미추홀구 인중로 5, 정산빌딩 B1,2,5~10층 (숭의동)",요양병원(일반요양병원),2,196
1527,광명인병원,37.462009159,126.87938293,폐업,28011213,경기도 광명시 하안3동 36번지 2호,"경기도 광명시 범안로 1046 (하안동, 광명인병원)",병원,14,57
1528,광명성애한방병원,,,폐업,2680-7360,"철산3동 389, 5층",,한방병원,1,30
1529,광명연세병원,37.474449335,126.85233372,폐업,2060-6114,경기도 광명시 광명5동 290번지 23호,경기도 광명시 광명로 844 (광명동),병원,14,98
1530,광명은혜병원,37.462328324,126.87866603,폐업,895-5555,"경기도 광명시 하안2동 34번지 9호 (B01, 101, 201, 301호)","경기도 광명시 범안로 1043, 1층 (하안동, 원촌빌딩)",요양병원(일반요양병원),2,53
1531,광명병원,37.484731405,126.85635769,폐업,2682-7582,경기도 광명시 광명2동 51번지 5호,"경기도 광명시 광명로 963 (광명동, 광명병원)",병원,9,96
1532,서울대효병원,37.448198659,126.88201429,폐업,02-899-9114,경기도 광명시 소하동 1340번지 2호,"경기도 광명시 오리로 518, 9,10층 (소하동)",병원,8,49
1533,한마음병원,,,폐업,715-4935,마포구 도화1동 17-22호,,병원,4,95
1534,세바른병원,37.488033541,127.03283921,폐업,1544-8297,서울특별시 강남구 도곡동 949번지,서울특별시 강남구 강남대로 276 (도곡동),병원,27,30
1535,제아치과병원,37.508278488,127.02316329,폐업,02-6959-0232,"서울특별시 강남구 논현동 164번지 2호 2층,3층,5층","서울특별시 강남구 강남대로 516, 2층,3층,5층 (논현동)",치과병원,3,7
1536,리안요양병원,37.539942823,127.06310046,폐업,02-466-5151,서울특별시 광진구 자양동 25-2,서울특별시 광진구 동일로 82-1 (자양동),요양병원(일반요양병원),12,79
1537,동부병원,37.54581548,127.06641018,폐업,463-6600,서울특별시 광진구 화양동 24번지 17호,서울특별시 광진구 동일로 154 (화양동),병원,2,55
1538,광진구의한방병원,37.544754123,127.085673,폐업,453-1275,서울특별시 광진구 구의1동 234번지 14호,서울특별시 광진구 광나루로 506 (구의동),한방병원,8,52
1539,의료법인 언양의료재단 조은병원,37.548919054,126.93317016,폐업,712-2856,서울특별시 마포구 신수동 103번지 2호,서울특별시 마포구 창전로 74 (신수동),병원,2,84
1540,신촌리더스병원,37.550416236,126.93269533,폐업,335-5117,"서울특별시 마포구 창전동 13번지 3호 벽송빌딩 2, 4, 5층","서울특별시 마포구 서강로 82, 2,4,5층 (창전동, 벽송빌딩)",병원,13,42
1541,투데이치과병원,37.499437699,127.0343453,폐업,02-562-2872,서울특별시 강남구 역삼1동 736번지 16호 2층,"서울특별시 강남구 테헤란로20길 5, 2층 (역삼동)",치과병원,1,0
1542,이지앤성형외과병원,37.522943134,127.02920273,폐업,080-500-2080,"서울특별시 강남구 신사동 597번지 3호 지하1,2층, 지상1층일부, 2,3,4,5층","서울특별시 강남구 압구정로30길 67 (신사동, 지하1,2층, 지상1층일부, 2,3,4,5층)",병원,19,30
1543,바비페이스치과병원,37.508278488,127.02316329,폐업,1544-2944,"서울특별시 강남구 논현동 164번지 2호 지1~3층,5층",서울특별시 강남구 강남대로 516 (논현동),치과병원,4,9
1544,한맘플러스병원,37.503565224,127.05942873,폐업,,"서울특별시 강남구 대치동 960번지 12호 3,4,5층","서울특별시 강남구 역삼로 509 (대치동,3,4,5층)",병원,9,30
1545,서울특별시서울의료원강남분원,37.512449193,127.06633801,폐업,3430-0238,서울특별시 강남구 삼성동 171번지 1호  지하1~4층,"서울특별시 강남구 봉은사로114길 43, 지하1층~4층 (삼성동)",병원,6,30
1546,엠디병원,37.526246954,127.04045932,폐업,542-0081,서울특별시 강남구 청담동 84번지 6호 소나무빌딩 4층~7층,"서울특별시 강남구 선릉로 832, 4~7층 (청담동, 소나무빌딩)",병원,6,30
1547,전체플란트치과병원,37.504897481,127.02477949,폐업,234462755,서울특별시 강남구 논현동 200-7 urbanhive,"서울특별시 강남구 강남대로 476, urbanhive (논현동)",치과병원,6,0
1548,예치과병원,37.524952513,127.05063417,폐업,,서울특별시 강남구 청담동 125번지 23호,서울특별시 강남구 도산대로 523 (청담동),치과병원,3,0
1549,경희한성한방병원,37.508029151,127.03316342,폐업,02-543-7533,,"서울특별시 강남구 논현로 609, 2층, 3층일부,4층 (논현동, 정빌딩)",한방병원,7,40
1550,더청담병원,37.523833577,127.04111307,폐업,541-1541,서울특별시 강남구 청담동 87번지 11호 지하1층 1층 2층일부 3층~7층,"서울특별시 강남구 도산대로 417 (청담동, 지하1층 1층 2층일부 3층~7층)",병원,39,54
1551,미즈메디병원,,,폐업,02-3467-3800,,"서울특별시 강남구 도곡로 452-452 (대치동, 미즈메디병원)",병원,65,30
1552,푸른노인전문병원,,,폐업,3461-7000,역삼1동 671,,병원,3,0
1553,한솔정형외과병원,37.516084571,127.03658409,폐업,2015-1304,"서울특별시 강남구 논현동 115번지 17호 지하1,2층, 지상2,3층",서울특별시 강남구 학동로 309 (논현동),병원,16,32
1554,아이디치과병원,37.525195004,127.02505142,폐업,,서울특별시 강남구 신사동 574번지 2호 3층,"서울특별시 강남구 압구정로 148 (신사동,3층)",치과병원,2,0
1555,에이플러스치과병원,37.527231231,127.03392348,폐업,02-3442-7575,"서울특별시 강남구 신사동 636번지 7호  4,5,6층일부","서울특별시 강남구 언주로 860 (신사동, 4,5,6층일부)",치과병원,6,0
1556,성신치과병원,,,폐업,508-2868,삼성2동 142-35 (9층),,치과병원,5,0
1557,가우디치과병원,37.507805582,127.06107851,폐업,1566-7426,서울특별시 강남구 대치동 945번지 삼안빌딩 4층,"서울특별시 강남구 테헤란로 520, 4층 (대치동, 삼안빌딩)",치과병원,4,0
1558,코엑스치과병원,,,폐업,6000-2875,삼성1동 159외 2필지,,치과병원,1,0
1559,예치과병원,37.523522319,127.05573994,폐업,557-9884,"서울특별시 강남구 청담동 131번지 6호 1층일부, 8층~12층","서울특별시 강남구 영동대로 734 (청담동,1층일부, 8층~12층)",치과병원,17,0
1560,강남센트럴요양병원,37.488439044,127.1029838,폐업,02-3411-2360,,"서울특별시 강남구 광평로51길 6-9 (수서동, 지하1층, 지상1~7층)",요양병원(일반요양병원),22,112
1561,자이비뇨기과병원,37.508029151,127.03316342,폐업,3448-7118,서울특별시 강남구 논현동 192번지 5호,"서울특별시 강남구 논현로 609 (논현동, 2층, 3층일부, 4층)",병원,13,31
1562,연세에스병원,,,폐업,02-2156-8888,,"서울특별시 강남구 학동로4길 7 (논현동, 에스오케이병원 1~3층, 4층일부)",병원,12,40
1563,(사) 대한사회복지회 한서병원,37.500322273,127.039177,폐업,555-5851,서울특별시 강남구 역삼동 718번지 35호 한서병원,"서울특별시 강남구 논현로86길 21, 지하1층~4층 (역삼동)",병원,4,30
1564,베스필치과병원,37.488782652,127.10360769,폐업,445-4528,서울특별시 강남구 수서동 717번지  2층,"서울특별시 강남구 밤고개로1길 34, 2층 (수서동)",치과병원,1,0
1565,그린치과병원,,,폐업,543-3493,서울특별시 강남구 역삼1동 19번지  3~5층,"서울특별시 강남구 테헤란로 106, 3~5층 (역삼동)",치과병원,3,0
1566,가우치과병원,37.527737767,127.03194637,폐업,523-2800,서울특별시 강남구 신사동 619번지 7호 9층,"서울특별시 강남구 언주로171길 18, 9층 (신사동)",치과병원,1,0
1567,요나한방병원,37.485604453,127.03912859,폐업,25400109,서울특별시 강남구 도곡동 909번지 3호 한독빌딩 2층,"서울특별시 강남구 남부순환로 2645, 2층 (도곡동, 한독빌딩)",한방병원,4,30
1568,그랜드성형외과병원,37.517411442,127.02172162,폐업,1588-5153,서울특별시 강남구 신사동 514번지 16호,"서울특별시 강남구 도산대로 121, B6~B2, B1일부,지상1~5층, 6층일부, 7층~15층, (신사동)",병원,18,31
1569,서울특별시 서울의료원,,,폐업,5193-114,삼성1동 171-1,,종합병원,0,500
1570,남서울병원,37.507394675,127.0558491,폐업,511-8172,,서울특별시 강남구 삼성로 507 (삼성동),병원,21,45
1571,엘에스병원,37.510618395,127.05503944,폐업,,,"서울특별시 강남구 삼성로 548, 1,6,7층 (삼성동, 지암빌딩)",병원,1,0
1572,청아치과병원,37.499615429,127.03167562,폐업,02-556-6836,서울특별시 강남구 역삼동 648번지 22호,"서울특별시 강남구 테헤란로 125 (역삼동, 동찬빌딩)",치과병원,2,0
1573,지앤지병원,37.49784648,127.02863704,폐업,554-5517,서울특별시 강남구 역삼동 825번지 미진프라자 15층 16층일부 17층일부,"서울특별시 강남구 강남대로 390 (역삼동, 미진프라자 15층 16층일부 17층일부)",병원,11,31
1574,최차혜병원,37.547809519,127.06785028,폐업,02-463-2311,서울특별시 광진구 화양동 21번지 20호,서울특별시 광진구 동일로30길 9 (화양동),병원,21,36
1575,구의한방병원,,,폐업,02-453-1275,서울특별시 광진구 구의1동 234-14,,한방병원,10,50
1576,케이에스병원,37.509364324,127.04394356,폐업,02-538-0075,서울특별시 강남구 역삼동 682번지 23호,"서울특별시 강남구 선릉로 571 (역삼동, KS병원)",병원,32,53
1577,광혜병원,37.510618395,127.05503944,폐업,538-7111,대치3동 995-27외 2필지,"서울특별시 강남구 삼성로 548 (삼성동, 1층일부, 6층,7층)",병원,20,35
1578,포샤르치과병원,37.49784648,127.02863704,폐업,3469-1500,역삼1동 825 (미진프라자 11층),"서울특별시 강남구 강남대로 390, 11층 (역삼동, 미진프라자)",치과병원,4,0
1579,마디병원,37.517704333,127.05121258,폐업,02-2056-8000,"서울특별시 강남구 삼성동 52번지 17호 마디빌딩, 지하1층~3층, 지상1층~9층","서울특별시 강남구 삼성로 646, 마디빌딩, 지하1층~3층, 지상1층~9층 (삼성동)",병원,32,52
1580,씨디씨어린이치과병원,37.520610751,127.05535738,폐업,515-0926,"서울특별시 강남구 청담동 70번지 15호 2층,3층","서울특별시 강남구 학동로97길 11, 2층,3층 (청담동)",치과병원,7,0
1581,네모치과병원,37.503935166,127.05002017,폐업,25645956,서울특별시 강남구 대치동 889번지 47호 샹제리제센터 제B동 202호,"서울특별시 강남구 선릉로90길 10 (대치동, 샹제리제센터 제B동 지하층 202호)",치과병원,1,0
1582,큰사랑노인전문병원,37.472998863,127.05266389,폐업,571-4320,"서울특별시 강남구 개포4동 1164번지 10호 지하1층, 지상1~6층","서울특별시 강남구 논현로2길 30, 지하1층, 1~6층 (개포동)",요양병원(일반요양병원),22,131
1583,메르덴치과병원,37.505432306,127.05774332,폐업,3453-2875,"서울특별시 강남구 대치동 957번지 2,3층","서울특별시 강남구 삼성로 432, 2,3층 (대치동)",치과병원,0,0
1584,에스병원,37.492586356,127.04275196,폐업,2036-5555,도곡1동 542,서울특별시 강남구 도곡로 216 (도곡동),병원,25,36
1585,아이엠치과병원,37.51994017,127.03023426,폐업,,서울특별시 강남구 논현2동 60번지 7호,서울특별시 강남구 도산대로 214 (논현동),치과병원,7,7
1586,태능성심요양병원,37.618257855,127.07499583,폐업,02-976-0808,서울특별시 노원구 공릉동 680-9 태릉성심요양병원,"서울특별시 노원구 동일로 987, 태릉성심요양병원 (공릉동)",요양병원(일반요양병원),15,97
1587,모네여성병원,37.653714942,127.06789767,폐업,02-939-0300,서울특별시 노원구 상계동 301번지 6호 모네여성병원,"서울특별시 노원구 노원로 416, 모네여성병원 (상계동)",병원,18,30
1588,연세방요양병원,,,폐업,977-7477,"서울특별시 노원구 공릉3동323-2 공삼빌딩 2,3,4층",,요양병원(일반요양병원),3,70
1589,신애요양병원,,,폐업,936-5505,서울특별시 노원구 상계6동764-1  하라프라자 5층,,요양병원(일반요양병원),2,75
1590,태릉마이크로병원,37.618257855,127.07499583,폐업,970-0801,"서울특별시 노원구 공릉1.3동 680번지 9호 지하1층,1층,3층,4층,6층, 8층",서울특별시 노원구 동일로 987 (공릉동),병원,10,74
1591,유디성신치과병원,37.505743843,127.05066965,폐업,557-4111,서울특별시 강남구 삼성동 142번지 35호 9층,"서울특별시 강남구 테헤란로 411, 9층 (삼성동)",치과병원,1,0
1592,기쁨정원치과병원,37.488016744,127.10184847,폐업,02-568-2879,,"서울특별시 강남구 밤고개로1길 10, 315호 (수서동, 수서현대벤쳐빌)",치과병원,1,0
1593,의료법인 한국암치료재단 헬스피아요양병원,37.542267332,127.12530641,폐업,6969-2000,"서울특별시 강동구 천호동 357번지 5,6층","서울특별시 강동구 올림픽로 684, 5,6층 (천호동)",요양병원(일반요양병원),10,104
1594,강동제일병원,37.532017474,127.13834399,폐업,475-2202,,"서울특별시 강동구 양재대로 1412, 3,4,5층 (둔촌동, 토림빌)",병원,4,34
1595,서울실버한방병원,37.534557092,127.13943865,폐업,02-474-2522,서울특별시 강동구 길동 419번지,서울특별시 강동구 진황도로 122 (길동),한방병원,25,153
1596,선한이웃병원,,,폐업,914-2000,"서울특별시 노원구 월계1동50-1,30호",,병원,8,205
1597,태능성심한방병원,,,폐업,9700-910,서울특별시 노원구 공릉1동680-9,,한방병원,8,50
1598,시립노인요양원부속의원,,,폐업,939-6176,서울특별시 노원구 상계1동산51번지,,요양병원(일반요양병원),7,0
1599,강북예치과병원,,,폐업,938-2833,서울특별시 노원구 상계7동727-1 8층,,치과병원,17,0
1600,새서울병원,37.67809819,127.05569774,폐업,930-5858,서울특별시 노원구 상계동 1115번지 2호 모아빌딩 2층,"서울특별시 노원구 동일로 1678, 2층 (상계동, 모아빌딩)",병원,8,40
1601,서울스페셜병원,37.628481838,127.07069022,폐업,02-1899-9899,서울특별시 노원구 공릉동 323번지 2호,"서울특별시 노원구 동일로197길 11 (공릉동, 공삼빌딩)",병원,6,53
1602,성바오로한방병원,,,폐업,02-958-2424,서울특별시 동대문구 왕산로 318(전농2동 620-56),,한방병원,5,30
1603,경동요양병원,37.582942899,127.04376763,폐업,02-964-1961,서울특별시 동대문구 청량리동 689번지 지하2층~지상10층,"서울특별시 동대문구 약령시로 124 (청량리동, 지하2~지상10층)",요양병원(일반요양병원),13,84
1604,의료법인영일의료재단실로암요양병원,,,폐업,02-2246-7773,"서울특별시 동대문구 전농로 37(답십리1동 266-3 2층 3층, 267-8 1-3층)",,요양병원(일반요양병원),0,86
1605,한림대학교임상치의학대학원치과병원,,,폐업,02-3299-3400,서울특별시 동대문구 약령시길 158(청량리2동 235-2),,치과병원,0,5
1606,신우요양병원,37.579471831,127.0680536,폐업,02-2214-7582,"서울특별시 동대문구 전농동 1번지 64호 지하1,지상1,3~6층","서울특별시 동대문구 한천로 207, 지하1,지상1,3~6층 (전농동)",요양병원(일반요양병원),19,116
1607,의료법인 영일의료재단 실로암요양병원,,,폐업,02-2246-7773,"서울특별시 동대문구 전농로 37, 39(답십리동 267-8 1,2,3층, 266-3 2,3,4층)",,요양병원(일반요양병원),3,86
1608,브레인병원,37.575479144,127.07260546,폐업,02-2211-2200,"서울특별시 동대문구 벚꽃6길 40(장안동 311-5)지하1층, 지상1~6층",서울특별시 동대문구 장한로32길 7 (장안동),병원,39,108
1609,효림병원,,,폐업,02-962-1123,"서울특별시 동대문구 고산자로 179(용두동 45-1) 지상2,3,4,5층",,병원,4,130
1610,맑은수병원,37.56384344,127.06547077,폐업,02-2681-0119,서울특별시 동대문구 장안동 431번지 6호,서울특별시 동대문구 천호대로83길 44 (장안동),병원,25,112
1611,서울편안한요양병원,37.569050756,127.05682495,폐업,02-2243-3388,서울특별시 동대문구 답십리동 268번지 3호,서울특별시 동대문구 전농로 45 (답십리동),요양병원(일반요양병원),14,120
1612,강동병원,37.537056955,127.12326294,폐업,,서울특별시 강동구 성내동 78번지 1호,,병원,10,30
